layer,neuron,max_corr,mean_corr,min_corr,max_baseline,min_baseline,mean_baseline,w_in_norm,input_bias,w_out_norm,in_out_sim,l2_penalty,mean,var,skew,kurt,vocab_mean,vocab_var,vocab_skew,vocab_kurt,sparsity
2,1179,0.4443,0.3826,0.3372,0.2412,0.2036,0.2227,0.48976943,-0.62438977,0.42755044,-0.31126964,0.4226734733067184,-1.3006262,1.2194773,0.09441582,1.6996864,0.0016244903,0.0015684761,-0.09539867,2.929375,0.19283889
2,3020,0.917,0.766,0.597,0.1968,0.1642,0.1736,0.22678688,-0.26677483,0.6307635,-0.37108135,0.4492948818723844,-0.796189,0.4911969,-0.11018577,1.7039613,-0.0003550656,0.00071707845,0.035065252,2.9533541,0.23640953
8,556,0.4456,0.4023,0.3384,0.1824,0.1692,0.1764,0.56540054,-0.8519114,0.78619033,-0.55800205,0.9377730056178004,-1.5695506,1.5985141,0.20952739,1.7043017,0.0020366807,0.0028242574,0.25167614,2.8607135,0.18076771
7,1040,0.4204,0.4028,0.3755,0.298,0.2832,0.2913,0.5219681,-0.51965666,0.73213226,-0.7242401,0.8084683435503175,-1.2845724,1.2856408,-0.27004948,1.7073466,0.0004265112,0.0016126705,-0.03345966,3.2149172,0.17810047
2,1770,0.5044,0.423,0.3713,0.3281,0.3135,0.3208,0.4374577,-0.39876074,0.4608818,-0.6091861,0.40378127286053,-1.1637186,1.1793838,-0.261984,1.7117854,-7.609958e-05,0.0013486483,0.014399072,2.980579,0.21176669
2,907,0.6562,0.6064,0.5625,0.1522,0.12335,0.1351,0.32005268,-0.22254814,0.5694424,-0.44231603,0.4266983648929424,-0.92205024,0.6570136,-0.06389369,1.7226655,3.5251014e-05,0.0007019713,0.12750946,3.2810645,0.2255886
3,2352,0.552,0.4856,0.4023,0.3315,0.2751,0.3064,0.49153838,-0.63527155,0.46311557,-0.5356365,0.4560860101894493,-1.3940922,1.2489567,0.049239606,1.7241383,0.0016707111,0.0017416569,-0.045374617,2.9697,0.17545725
5,2193,0.8457,0.7007,0.5444,0.1354,0.1241,0.1301,0.24284728,-0.3339808,0.86346525,-0.64928174,0.8045470393609608,-1.0137956,0.4879496,-0.08783027,1.7264249,-4.787936e-05,0.0008329152,0.08812532,3.7760305,0.09390548
2,2913,0.765,0.675,0.4333,0.1951,0.1434,0.1711,0.2584097,-0.22076228,0.5755569,-0.60400003,0.3980413181917001,-0.9420965,0.581635,0.035566587,1.7290779,0.00033903072,0.0006812216,0.06939803,3.013953,0.21026422
2,679,0.6245,0.5654,0.5146,0.4543,0.4233,0.4363,0.63295734,-0.33379483,0.609525,-0.7922469,0.7721557198848756,-1.0980285,1.4707863,-0.5640425,1.7443316,-0.0013888376,0.0014215364,0.23800685,3.2725363,0.24470185
9,813,0.4736,0.4106,0.3735,0.372,0.3306,0.345,0.5431658,-0.6691586,0.8733161,-0.63163465,1.0577100968088502,-1.5435526,1.0483297,0.01902125,1.7462124,0.0015337765,0.0025637923,-0.3122467,2.7117436,0.06739627
2,1172,0.789,0.7227,0.5693,0.2008,0.173,0.1869,0.22925897,-0.31133115,0.8116774,-0.53634,0.7113798769962209,-0.810108,0.6866004,-0.28448784,1.7506895,-0.00023018301,0.0006679735,0.06503551,3.0726972,0.2858432
