,layer,neuron,max_corr,min_corr,max_baseline,min_baseline,excess_corr,input_weight_norm,input_bias,output_weight_norm,in_out_sim,weight_norm_penalty,mean,var,skew,kurt,vocab_mean,vocab_var,vocab_skew,vocab_kurt,sparsity
13848,4,1560,0.6934,0.643,0.1378,0.1241,0.5054,0.75948286,-0.9245883,0.49392113,0.19413824,0.8207722972942565,-2.0837505,0.47910407,0.6127125,5.069702,0.0005551614,0.0017895887,0.40326875,3.3311894,0.010323514
13873,4,1585,0.7163,0.6714,0.10205,0.0893,0.5693,0.9354648,-1.2126622,0.55635005,0.047084566,1.1846197701740424,-2.7774804,0.8804953,-0.070106514,4.190695,0.0002982482,0.0012509004,0.06358714,3.115187,0.0055541615
13901,4,1613,0.8643,0.8,0.1141,0.082,0.6855,0.8320215,-1.0685825,0.61631763,0.26676038,1.0721071975110668,-2.7226007,0.51983243,1.0334038,7.42436,0.00054852373,0.0012840239,0.13053869,3.236842,0.004215956
13969,4,1681,0.8003,0.6714,0.11633,0.1007,0.555,0.7943336,-1.0706265,0.516975,0.0063920254,0.8982290187139599,-2.662079,0.6121052,0.5694203,5.463732,0.00090432336,0.0014953637,0.1957858,3.2120252,0.006306679
14029,4,1741,0.811,0.644,0.10956,0.0873,0.5347,0.9189386,-1.4197066,0.66606146,0.26934853,1.2880860190672918,-2.927809,0.8560153,0.38998967,4.4542737,-0.00037234396,0.0013750389,0.11307207,3.1599379,0.005601856
14233,4,1945,0.7695,0.6494,0.11163,0.09283,0.5376,0.67434055,-0.8905443,0.5635517,0.023931833,0.7723256959471926,-2.3801086,0.4212118,0.84215665,5.536019,6.1867664e-05,0.0013063629,0.057861496,3.2819808,0.008303022
14244,4,1956,0.8604,0.741,0.1698,0.1373,0.5713,0.8328989,-1.1170814,0.5325587,0.13933976,0.9773393465669,-2.2351341,0.6877892,0.40846545,5.6606565,0.00067542866,0.0012996548,-0.034379717,2.9385188,0.012958519
14303,4,2015,0.7705,0.65,0.1279,0.1116,0.522,0.7749385,-0.9257053,0.4704245,0.21518746,0.8218288889825,-2.2971318,0.46786302,0.83114743,5.343848,-0.000119731696,0.0012992434,0.018499097,2.98541,0.006069285
14390,4,2102,0.8076,0.697,0.1871,0.1526,0.51,0.6598167,-0.56023365,0.4969596,0.4257873,0.68232692163105,-1.3416413,0.33393115,0.88693154,6.415492,0.0005159761,0.0018520637,0.542989,4.000469,0.023720713
14415,4,2127,0.7554,0.693,0.1814,0.1522,0.5117,0.9288643,-1.0842359,0.46362528,0.09631595,1.0777372880695684,-2.3402433,0.83718354,0.017514585,3.6567414,-0.0004880813,0.0014013152,0.037747707,3.041726,0.00809099
14447,4,2159,0.8584,0.8096,0.2732,0.2137,0.536,0.623094,-0.5514121,0.51106083,0.4290651,0.6494293047962889,-1.4364485,0.44677022,1.54331,8.110417,-0.0012621257,0.002130588,0.11575076,3.6405163,0.032911215
14705,4,2417,0.775,0.75,0.1593,0.1201,0.591,0.6409662,-0.5338416,0.277377,0.3994932,0.48777566967144004,-1.1697468,0.54943925,0.75325686,4.38839,0.0004998905,0.00112928,0.03377783,3.2363133,0.077145666
14830,4,2542,0.789,0.744,0.1604,0.1439,0.584,0.7733844,-0.9173248,0.52785504,0.4421801,0.8767543734167617,-2.0003757,0.4902905,0.40050283,4.922954,-0.00035411096,0.0011770615,0.021124741,3.0351362,0.0056804996
14914,4,2626,0.8477,0.744,0.1444,0.1327,0.5996,0.8759677,-1.2169104,0.5516488,0.2114869,1.07163580998473,-2.7826912,0.7652103,0.62139404,4.9174247,3.4814348e-05,0.0013455828,0.13257362,3.1632082,0.008376313
15036,4,2748,0.7944,0.7153,0.12213,0.1117,0.5933,0.86510456,-0.7966263,0.4234322,0.35293084,0.9277007277296336,-1.7907127,0.6769042,-0.5411084,4.8435807,-0.0005893765,0.0012466729,-0.035650313,3.0054262,0.013506609
15122,4,2834,0.8193,0.785,0.2578,0.212,0.5273,0.6015738,-0.5175817,0.41015515,0.40382573,0.5301182839179626,-1.1998421,0.5208568,1.4609885,6.01786,-2.9744422e-06,0.0010532679,-0.03891842,3.0453157,0.09096231
15146,4,2858,0.714,0.64,0.1327,0.1263,0.5073,0.7649479,-0.8603232,0.45462972,0.15333864,0.7918334720216884,-2.0064473,0.5591295,0.40053526,4.348994,0.00023434337,0.0014206079,0.008907531,2.8987541,0.01235818
15211,4,2923,0.832,0.764,0.1699,0.1599,0.594,0.8236398,-0.88768494,0.36610404,0.28284395,0.8124146882483617,-1.9545822,0.6203009,0.37757432,4.25225,0.00047435713,0.0012572625,0.027102614,2.9687412,0.012420225
16080,5,720,0.7705,0.692,0.1788,0.17,0.513,0.5778481,-0.34498298,0.37628704,0.4447413,0.4755003631455716,-1.1863587,0.31010655,1.5087496,8.114358,-0.0004544899,0.0012427677,0.009291849,3.1671576,0.039842054
16359,5,999,0.6978,0.6577,0.1357,0.1237,0.522,0.73707676,-0.8171714,0.50989354,0.3719636,0.8032735722658291,-1.8349407,0.48243865,0.34818137,3.9732826,3.0232872e-05,0.0012336846,0.025080422,3.11726,0.01287051
16368,5,1008,0.805,0.7246,0.1726,0.1367,0.552,0.713728,-0.9886329,0.54201335,0.2953878,0.8031861295622225,-2.3245523,0.59447384,0.88882035,5.571877,0.0012589305,0.001716111,0.06824885,2.8295336,0.014597319
16409,5,1049,0.8496,0.801,0.1241,0.11145,0.677,0.70625716,-0.58925176,0.372238,0.32039964,0.6373603046952656,-1.3413149,0.41777438,0.8507396,6.5377946,0.00016677311,0.0012135867,-0.0140807815,3.0918102,0.02963844
